step,fsr_0,fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,fsr_6,fsr_7,fsr_8,fsr_9,fsr_10,fsr_11,fsr_12,fsr_13,fsr_14,fsr_15,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,is_unlocked
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9600000381469727,0.48000001907348633,1.0,0.0,0.9600000381469727,0.48000001907348633,1.0,0.0,0.9600000381469727,0.48000001907348633,1.0,0.0,0.9600000381469727,0.48000001907348633,-0.022572875022888184,-0.005041319411247969,-0.0025516394525766373,0.0010960439685732126,-0.015749935060739517,-0.003612940665334463,-0.0007071795407682657,0.0014714248245581985,-0.008917697705328465,-0.0021825393196195364,0.0011395321926102042,0.0018469346687197685,-0.011879105120897293,1.5698444843292236,-0.004546789918094873,0.00020360361668281257,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010082638822495937,0.9600000381469727,0.48000001907348633,1.0,0.007225881330668926,0.9600000381469727,0.48000001907348633,1.0,0.004365078639239073,0.9600000381469727,0.48000001907348633,1.0,0.00031113624572753906,0.9600000381469727,0.48000001907348633,0.003165881149470806,0.0008170829387381673,0.008546019904315472,0.004906981252133846,0.004437804222106934,0.0029615408275276423,0.009027733467519283,0.005055864807218313,0.00582758616656065,0.005123235750943422,0.009548638015985489,0.005213146097958088,0.01596670225262642,1.570315957069397,0.014078927226364613,0.0065941596403717995,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0016341659938916564,0.9600000381469727,0.48000001907348633,1.0,-0.0059230816550552845,0.9600000381469727,0.48000001907348633,1.0,-0.010246471501886845,0.9600000381469727,0.48000001907348633,1.0,-0.0006318092346191406,0.9600000381469727,0.48000001907348633,0.04919781535863876,-0.0009882425656542182,0.026208601891994476,0.010332166217267513,0.044322360306978226,0.002235510852187872,0.025073764845728874,0.01016760990023613,0.03955813869833946,0.005483984015882015,0.023975664749741554,0.01001070998609066,0.045557837933301926,1.5705692768096924,0.03373602777719498,0.013362894766032696,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0019764851313084364,0.9600000381469727,0.48000001907348633,1.0,-0.004471021704375744,0.9600000381469727,0.48000001907348633,1.0,-0.01096796803176403,0.9600000381469727,0.48000001907348633,1.0,-0.001138448715209961,0.9600000381469727,0.48000001907348633,0.06504974514245987,-0.007304277271032333,0.0352485291659832,0.01402225811034441,0.05799074098467827,-0.002928899135440588,0.03345180302858353,0.013704725541174412,0.05107435584068298,0.0014629053184762597,0.031701236963272095,0.013396486639976501,0.05309730023145676,1.570659875869751,0.04075874760746956,0.016837533563375473,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014608554542064667,0.9600000381469727,0.48000001907348633,1.0,0.005857798270881176,0.9600000381469727,0.48000001907348633,1.0,-0.0029258106369525194,0.9600000381469727,0.48000001907348633,1.0,-0.0013196468353271484,0.9600000381469727,0.48000001907348633,0.07557456195354462,-0.009900571778416634,0.04272712394595146,0.017425330355763435,0.06806029379367828,-0.005143546499311924,0.040771450847387314,0.017066339030861855,0.06071026995778084,-0.0003755801299121231,0.038868729025125504,0.01671796664595604,0.06090002506971359,1.5707042217254639,0.04780477285385132,0.020220104604959488,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019801145419478416,0.9600000381469727,0.48000001907348633,1.0,0.010287092998623848,0.9600000381469727,0.48000001907348633,1.0,0.0007511602598242462,0.9600000381469727,0.48000001907348633,1.0,-0.0014083385467529297,0.9600000381469727,0.48000001907348633,0.08478936553001404,-0.011378216557204723,0.04985569417476654,0.020770858973264694,0.0771995559334755,-0.006487909704446793,0.04785662516951561,0.020397480577230453,0.06978768855333328,-0.0015902244485914707,0.0459148995578289,0.02003560960292816,0.06821509450674057,1.570733904838562,0.05455461144447327,0.023511478677392006,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022756434977054596,0.9600000381469727,0.48000001907348633,1.0,0.012975819408893585,0.9600000381469727,0.48000001907348633,1.0,0.0031804488971829414,0.9600000381469727,0.48000001907348633,1.0,-0.0014677048893645406,0.9600000381469727,0.48000001907348633,0.096797876060009,-0.01334773562848568,0.05760497972369194,0.024219220504164696,0.08941952139139175,-0.008437850512564182,0.05565102398395538,0.02385208010673523,0.08222660422325134,-0.003522838931530714,0.05375686287879944,0.023496968671679497,0.07866765558719635,1.5707250833511353,0.06296910345554352,0.027194660156965256,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02669547125697136,0.9600000381469727,0.48000001907348633,1.0,0.016875701025128365,0.9600000381469727,0.48000001907348633,1.0,0.007045678328722715,0.9600000381469727,0.48000001907348633,1.0,-0.0014500617980957031,0.9600000381469727,0.48000001907348633,0.11037777364253998,-0.0157272070646286,0.06614798307418823,0.027906564995646477,0.10311085730791092,-0.010861380025744438,0.06419428437948227,0.027533136308193207,0.09604527801275253,-0.005994339473545551,0.06230555847287178,0.027172841131687164,0.08729466795921326,1.5708632469177246,0.07040268927812576,0.030645694583654404,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0314544141292572,0.9600000381469727,0.48000001907348633,1.0,0.021722761914134026,0.9600000381469727,0.48000001907348633,1.0,0.011988678947091103,0.9600000381469727,0.48000001907348633,1.0,-0.0017263890476897359,0.9600000381469727,0.48000001907348633,0.11792613565921783,-0.016323205083608627,0.07283198833465576,0.031172767281532288,0.11069116741418839,-0.011518619954586029,0.0708780363202095,0.030797410756349564,0.10366205871105194,-0.0067139421589672565,0.06899049878120422,0.030435509979724884,0.093988798558712,1.5708826780319214,0.07679557055234909,0.03384234756231308,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.032646410167217255,0.9600000381469727,0.48000001907348633,1.0,0.023037239909172058,0.9600000381469727,0.48000001907348633,1.0,0.013427884317934513,0.9600000381469727,0.48000001907348633,1.0,-0.0017652511596679688,0.9600000381469727,0.48000001907348633,0.12435031682252884,-0.016133271157741547,0.0792056992650032,0.0343744121491909,0.11709819734096527,-0.01138730626553297,0.07724709808826447,0.033998120576143265,0.11005198210477829,-0.0066412463784217834,0.0753549113869667,0.033635277301073074,0.09995109587907791,1.5708814859390259,0.08280865103006363,0.036950089037418365,0
